XBAR.I0:AE X,XBAR.I0:AE Y,r0 X,r0 Y,XBAR.I0:OE X,XBAR.I0:OE Y
0,0,0,-1.4,0,1.033975765691285e-25
9.765625e-12,-1.823459370617883e-05,9.765625e-12,-1.398984375,9.765625e-12,1.823459370617883e-05
1.055285380294626e-11,-1.735478641815239e-05,1.055285380294626e-11,-1.398902503204493,1.055285380294626e-11,1.735478641815239e-05
1.084709930434959e-11,-1.780689791937477e-05,1.084709930434959e-11,-1.398871901672348,1.084709930434959e-11,1.780689791937477e-05
1.143559030715626e-11,-1.800279874382384e-05,1.143559030715626e-11,-1.398810698608056,1.143559030715626e-11,1.800279874382384e-05
1.225348459946325e-11,-1.841984929332584e-05,1.225348459946325e-11,-1.398725637601656,1.225348459946325e-11,1.841984929332584e-05
1.318901061703822e-11,-1.908197802760198e-05,1.318901061703822e-11,-1.398628342895828,1.318901061703822e-11,1.908197802760198e-05
1.398780675231722e-11,-2.00181824593944e-05,1.398780675231722e-11,-1.398545268097759,1.398780675231722e-11,2.00181824593944e-05
1.457233636555301e-11,-2.110387551588158e-05,1.457233636555301e-11,-1.398484477017983,1.457233636555301e-11,2.110387551588158e-05
1.500902249862501e-11,-2.2227661677428e-05,1.500902249862501e-11,-1.398439061660143,1.500902249862501e-11,2.2227661677428e-05
1.535003297829028e-11,-2.340216586996121e-05,1.535003297829028e-11,-1.398403596570258,1.535003297829028e-11,2.340216586996121e-05
1.561601482126755e-11,-2.467075027587486e-05,1.561601482126755e-11,-1.398375934458588,1.561601482126755e-11,2.467075027587486e-05
1.581898177298538e-11,-2.603956299449589e-05,1.581898177298538e-11,-1.398354825895609,1.581898177298538e-11,2.603956299449589e-05
1.597297554686798e-11,-2.748505227994214e-05,1.597297554686798e-11,-1.398338810543126,1.597297554686798e-11,2.748505227994214e-05
1.609146305459076e-11,-2.899146032875765e-05,1.609146305459076e-11,-1.398326487842322,1.609146305459076e-11,2.899146032875765e-05
1.618430203733467e-11,-3.056372232922969e-05,1.618430203733467e-11,-1.398316832588117,1.618430203733467e-11,3.056372232922969e-05
1.62579643827741e-11,-3.221471598843255e-05,1.62579643827741e-11,-1.398309171704191,1.62579643827741e-11,3.221471598843255e-05
1.631688504723171e-11,-3.395292252546042e-05,1.631688504723171e-11,-1.398303043955088,1.631688504723171e-11,3.395292252546042e-05
1.636440832147003e-11,-3.57813737706825e-05,1.636440832147003e-11,-1.398298101534567,1.636440832147003e-11,3.57813737706825e-05
1.640314768155783e-11,-3.770324804005007e-05,1.640314768155783e-11,-1.398294072641118,1.640314768155783e-11,3.770324804005007e-05
1.64350935516335e-11,-3.972583317965543e-05,1.64350935516335e-11,-1.39829075027063,1.64350935516335e-11,3.972583317965543e-05
1.646171570469326e-11,-4.185968890638091e-05,1.646171570469326e-11,-1.398287981566712,1.646171570469326e-11,4.185968890638091e-05
1.648410145044803e-11,-4.411560507033751e-05,1.648410145044803e-11,-1.398285653449153,1.648410145044803e-11,4.411560507033751e-05
1.65030833359159e-11,-4.650304265058758e-05,1.65030833359159e-11,-1.398283679333065,1.65030833359159e-11,4.650304265058758e-05
1.651932157822034e-11,-4.903124963615097e-05,1.651932157822034e-11,-1.398281990555865,1.651932157822034e-11,4.903124963615097e-05
1.653334420161193e-11,-5.169591350111919e-05,1.653334420161193e-11,-1.398280532203032,1.653334420161193e-11,5.169591350111919e-05
1.654570682949831e-11,-5.433652120518615e-05,1.654570682949831e-11,-1.398279246489732,1.654570682949831e-11,5.433652120518615e-05
1.654895415262476e-11,-5.710077312203437e-05,1.654895415262476e-11,-1.398278908768127,1.654895415262476e-11,5.710077312203437e-05
1.655010383135147e-11,-5.802769657454152e-05,1.655010383135147e-11,-1.398278789201539,1.655010383135147e-11,5.802769657454152e-05
1.655240318880489e-11,-5.837383059500372e-05,1.655240318880489e-11,-1.398278550068364,1.655240318880489e-11,5.837383059500372e-05
1.655334182407195e-11,-5.905613331635735e-05,1.655334182407195e-11,-1.398278452450296,1.655334182407195e-11,5.905613331635735e-05
1.655381114170547e-11,-5.935596521983574e-05,1.655381114170547e-11,-1.398278403641263,1.655381114170547e-11,5.935596521983574e-05
1.655474977697252e-11,-5.950762000835856e-05,1.655474977697252e-11,-1.398278306023195,1.655474977697252e-11,5.950762000835856e-05
1.655662704750662e-11,-5.980529566290574e-05,1.655662704750662e-11,-1.398278110787059,1.655662704750662e-11,5.980529566290574e-05
1.656038158857483e-11,-6.040379142939684e-05,1.656038158857483e-11,-1.398277720314788,1.656038158857483e-11,6.040379142939684e-05
1.656789067071124e-11,-6.162908014049671e-05,1.656789067071124e-11,-1.398276939370246,1.656789067071124e-11,6.162908014049671e-05
1.658290883498406e-11,-6.417308593886419e-05,1.658290883498406e-11,-1.398275377481162,1.658290883498406e-11,6.417308593886419e-05
1.658334362589349e-11,-6.963848167586575e-05,1.658334362589349e-11,-1.398275332262907,1.658334362589349e-11,6.963848167586575e-05
1.658421320771237e-11,-6.999380858511724e-05,1.658421320771237e-11,-1.398275241826398,1.658421320771237e-11,6.999380858511724e-05
1.658595237135011e-11,-7.042713650949463e-05,1.658595237135011e-11,-1.398275060953379,1.658595237135011e-11,7.042713650949463e-05
1.658792128402757e-11,-7.130308704212059e-05,1.658792128402757e-11,-1.398274856186461,1.658792128402757e-11,7.130308704212059e-05
1.659140777475597e-11,-7.232861147049775e-05,1.659140777475597e-11,-1.398274493591425,1.659140777475597e-11,7.232861147049775e-05
1.659756308948204e-11,-7.417834514731095e-05,1.659756308948204e-11,-1.398273853438694,1.659756308948204e-11,7.417834514731095e-05
1.660987371893419e-11,-7.758254568944161e-05,1.660987371893419e-11,-1.398272573133231,1.660987371893419e-11,7.758254568944161e-05
1.661019129083523e-11,-8.483438581532869e-05,1.661019129083523e-11,-1.398272540105753,1.661019129083523e-11,8.483438581532869e-05
1.661082643463729e-11,-8.534483932883465e-05,1.661082643463729e-11,-1.398272474050798,1.661082643463729e-11,8.534483932883465e-05
1.661209672224142e-11,-8.58535663192416e-05,1.661209672224142e-11,-1.398272341940887,1.661209672224142e-11,8.58535663192416e-05
1.661327014265025e-11,-8.687223678213295e-05,1.661327014265025e-11,-1.398272219905164,1.661327014265025e-11,8.687223678213295e-05
1.661551394485594e-11,-8.785301989567173e-05,1.661551394485594e-11,-1.398271986549735,1.661551394485594e-11,8.785301989567173e-05
1.661913886845175e-11,-8.972153307312827e-05,1.661913886845175e-11,-1.398271609557681,1.661913886845175e-11,8.972153307312827e-05
1.662547506123523e-11,-9.28330173654129e-05,1.662547506123523e-11,-1.398270950593631,1.662547506123523e-11,9.28330173654129e-05
1.663814744680219e-11,-9.850069544200758e-05,1.663814744680219e-11,-1.398269632665532,1.663814744680219e-11,9.850069544200758e-05
